county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
HASSI FRID,3.5,25.6,7.4,53.5,Kasserine
JEDELIANE,0.5,6.1,4.7,53.1,Kasserine
EL AYOUN,1.3,17,2.6,50.1,Kasserine
MAJEL BEN ABBES,0.8,9,3.9,41.4,Kasserine
HAIDRA,0.3,8.4,8.1,39.8,Kasserine
SBIBA,1.9,9,5.1,37.1,Kasserine
FERIANA,0.8,9.6,4.1,36.9,Kasserine
KASSERINE SUD,1.5,8.1,4.6,34,Kasserine
SBITLA,1.3,9.4,3.2,33,Kasserine
FOUSSANA,1.4,9.9,3.5,31.5,Kasserine
TALA,0.4,7.2,1.6,30.9,Kasserine
EZZOUHOUR,1.6,9.1,10.4,27.8,Kasserine
KASSERINE NORD,0.8,7.2,1.9,18.9,Kasserine
