county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
TAKELSA,0.3,5.8,5.9,19.1,Nabeul
HAMMAM GHEZAZ,0.1,6.2,2.9,16,Nabeul
ELMIDA,0.5,6.9,3.6,11.7,Nabeul
HAOUARIA,0.3,6.7,5,11,Nabeul
KELIBIA,0.2,7.1,3.3,10.9,Nabeul
MENZEL TEMIME,0.5,8.5,2.6,10.2,Nabeul
BOUARGOUB,0.3,8.1,0.3,8.6,Nabeul
SLIMANE,0.2,9.5,2.3,7.8,Nabeul
KORBA,0.4,7.9,3.2,7.7,Nabeul
MENZEL BOUZELFA,0.2,8.4,3,7.1,Nabeul
BENI KHALLED,0.3,7.6,1.7,6.4,Nabeul
GROMBALIA,0.3,8.9,0.3,6.3,Nabeul
HAMMAMET,0.3,7.8,0.3,5.9,Nabeul
BENI KHIAR,0.3,5.8,0.3,5.8,Nabeul
DAR CHAABANE,0.3,5.8,4.6,4.9,Nabeul
NABEUL,0.3,7.1,1.5,4.7,Nabeul
