county,code,population,poverty,sd
Carthage,1151,24216,1.6,0.0052
La Medina,1152,21400,6.6,0.0113
Bab El Bhar,1153,36210,1.6,0.0032
Bab Souika,1154,29185,4.5,0.0078
El Omrane,1155,42208,6.3,0.0065
El Omrane Supérieur,1156,55513,3.5,0.0052
Ettahrir,1157,21709,2,0.006
El Menzah,1158,41830,0.2,0.0012
Cité El Khadhra,1159,35173,1.4,0.0036
Le Bardo,1160,71961,1.8,0.0033
Sijoumi,1161,33870,11.5,0.0122
Ezzouhour,1162,40728,4,0.0063
El Hrairia,1163,110184,6.1,0.0059
Sidi Hassine,1164,109672,9.4,0.008
El Ouardia,1165,32147,3.9,0.0066
El Kabaria,1166,86024,5.3,0.0052
Sidi El Béchir,1167,27749,4.2,0.0079
Djebel Djelloud,1168,23638,9.5,0.0117
La Goulette,1169,45711,1.1,0.003
Le Kram,1170,74132,3,0.0045
La Marsa,1171,92987,2.2,0.0032
L'Ariana Ville,1251,114486,1.3,0.0021
Soukra,1252,129693,4.8,0.0043
Raoued,1253,106414,6.9,0.0063
Kalaat El Andalous,1254,26796,12.5,0.014
Sidi Thabet,1255,24503,9.1,0.0122
Cité Ettadhamen,1256,84312,12.4,0.0093
El Mnihla,1257,89884,8.8,0.007
Ben Arous,1351,31128,5,0.0076
Nouvelle Medina,1352,57194,5.2,0.0061
El Mourouj,1353,104538,3.2,0.0034
Hammam Lif,1354,42518,6.4,0.0067
Hammam Chatt,1355,31858,5,0.0078
Bou Mhel El Bassatine,1356,40101,4.1,0.0067
Ezzahra,1357,34962,2.6,0.005
Radès,1358,59998,4.3,0.0049
Megrine,1359,26720,3.6,0.0071
Mohamedia,1360,66439,7.1,0.0069
Fouchana,1361,74868,7.3,0.0058
Mornag,1362,61518,11.2,0.0091
Mannouba,1451,58792,3.8,0.0046
93,NA,NA,NA,NA
Douar Hicher,1452,84090,10.8,0.0087
Oued Ellil,1453,69317,8.2,0.0066
Mornaguia,1454,42687,7.8,0.0083
Borj Amri,1455,17408,12.1,0.0159
Djedeida,1456,44748,11.9,0.0114
Tebourba,1457,43499,15.2,0.0128
El Battane,1458,18977,14.5,0.0179
Nabeul,1551,73128,4.7,0.0055
Dar Chaabane Fehri,1552,46781,4.9,0.0074
Beni khiar,1553,43132,5.8,0.0068
Korba,1554,68964,7.7,0.007
Menzel Temime,1555,65645,10.2,0.0084
El Mida,1556,26995,11.7,0.0129
Kelibia,1557,58491,10.9,0.0084
Hammam El Guezaz,1558,15727,16,0.0195
El Haouaria,1559,41317,11,0.0115
Takelsa,1560,22151,19.1,0.0203
Soliman,1561,53491,7.8,0.0076
Menzel Bouzelfa,1562,37860,7.1,0.009
Beni Khalled,1563,37964,6.4,0.0081
Grombalia,1564,67475,6.3,0.0074
Bou Argoub,1565,30942,8.6,0.011
Hammamet,1566,97855,5.9,0.0055
Zaghouan,1651,38445,7.2,0.0084
Ez-Zeriba,1652,24617,13,0.0143
Bir Mchergua,1653,24387,15.8,0.0169
El Fahs,1654,46449,12.5,0.0104
En-Nadhour,1655,30366,22.5,0.0194
Saouaf,1656,12681,19.5,0.0256
Bizerte Nord,1751,87307,5.3,0.0076
Zarzouna,1752,24793,10.9,0.0155
Bizerte Sud,1753,55659,15.9,0.0127
Sedjnane,1754,40166,39.9,0.0205
Djoumine,1755,29029,36.6,0.0219
Mateur,1756,46975,19.3,0.0134
Ghezala,1757,26977,34,0.0223
Menzel Bourguiba,1758,61919,12.8,0.0113
Tinja,1759,23455,11.3,0.0151
Utique,1760,19922,19.1,0.0205
Ghar El Meleh,1761,19477,14.5,0.0183
Menzel Djemil,1762,47224,10.6,0.011
El Alia,1763,27075,15.1,0.0179
Ras Djebel,1764,58241,12.2,0.012
Beja Nord,2151,71198,23,0.013
Beja Sud,2152,38101,18.5,0.0133
Amdoun,2153,21187,37.6,0.0269
Nefza,2154,48101,37.5,0.0185
Teboursouk,2155,22115,27.3,0.0215
Tibar,2156,11206,25.8,0.027
Testour,2157,33613,25.5,0.018
Goubellat,2158,15762,36.9,0.029
Medjez El Bab,2159,41749,17.1,0.0135
Jendouba,2251,72337,10.7,0.0074
