county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty
SEJNANE,"0,4","8,5","3,9","39,9"
JOUMINE,"0,3","10,9","4,8","36,6"
GHAZALA,"0,2","7,7","3,2","34,0"
MATEUR,"0,1","5,2","2,6","19,3"
UTIQUE,"0,2","7,3","2,7","19,1"
BIZERTE SUD,"0,3","4,4","1,7","15,9"
EL ALIA,"0,5","7,7","3,4","15,1"
GHAR EL MELH,"0,7","8,6","3,6","14,5"
MENZEL BOURGUIBA,"0,3","7,4","3,9","12,8"
RAS JEBEL,"0,2","7,1","3,4","12,2"
TINJA,"0,1","4,3","2,1","11,3"
ZARZOUNA,"0,2","3,8","1,3","10,9"
MENZEL JEMIL,"0,2","7,4","3,8","10,6"
BIZERTE NORD,"0,2","6,5","3,7","5,3"
