county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
MORNAG,0.2,7,3.1,11.2,Ben Arous
FOUCHANA,0.1,5.6,2.4,7.3,Ben Arous
MHAMDIA,0.2,10.6,4.6,7.1,Ben Arous
HAMMAMLIF,0.2,7.1,4,6.4,Ben Arous
NOUVELLE MEDINA,0.1,5.1,2.3,5.2,Ben Arous
BEN AROUS,0.1,4.8,2.3,5,Ben Arous
HAMMAM ECHATT,0.2,7.5,3.7,5,Ben Arous
RADES,0.3,7.7,4.1,4.3,Ben Arous
BOUMHEL BASSATINE,0.1,4.2,1.8,4.1,Ben Arous
MEGRINE,0.1,4.3,2.5,3.6,Ben Arous
EL MOUROUJ,0,5.4,2.9,3.2,Ben Arous
EZZAHRA,0.1,8,4.3,2.6,Ben Arous
