county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
ZARAMDINE,0.3,7.4,5.3,13.1,Monastir
MOKNINE,0.5,7.3,1.5,12.1,Monastir
BENI HASSEN,0.3,2.8,3.2,10.6,Monastir
OUERDANINE,0.6,7.7,4.5,8.7,Monastir
BEKALTA,0.1,6.4,4.8,8.3,Monastir
JEMMAL,0.6,6.1,1.8,7.4,Monastir
KSAR HELLAL,0.3,6.9,3,6.8,Monastir
TEBOULBA,0.3,4.7,4.6,6.7,Monastir
SAHLINE,0.2,6.4,2.8,6.7,Monastir
BEMBLA,0.3,5.5,3.7,6.4,Monastir
KSIBET MEDIOUNI,0.2,5.1,0.8,5.8,Monastir
SAYADA LAMTA BOUHJAR,0.5,6.1,3.1,4.7,Monastir
MONASTIR,0.3,5.8,1.9,4.6,Monastir
