county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
BIR ALI BEN KHALIFA,1.1,6.4,2.6,17.4,Sfax
EL GHRAIBA,0.8,7,4,14.5,Sfax
SKHIRA,0.5,8,2.9,12.4,Sfax
MENZEL CHAKER,0.7,8.8,3.6,12.2,Sfax
HENCHA,0.6,8.2,4.6,11.8,Sfax
AGAREB,0.6,6.3,4.1,10.7,Sfax
EL MAHRES,0.3,10.9,3.9,8.9,Sfax
JEBENIANA,0.8,8,2,8.7,Sfax
EL AMERA,1,7.6,5.3,6.8,Sfax
TINA,0.5,4.3,1.5,6.2,Sfax
KERKENA,0.4,8.5,3.2,4.6,Sfax
SAKIET EDDAIER,0.6,6,2.4,3.2,Sfax
SAKIET EZZIT,0.5,4.7,1.7,3.2,Sfax
SFAX OUEST,0.3,5.1,1.9,3,Sfax
SFAX SUD,0.4,4.7,1.3,3,Sfax
SFAX Ville,0.2,4.9,2.3,2.5,Sfax
