county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
MENZEL BOUZAYENE,0.8,12.3,6.5,39,Sidi Bouzid
MAZZOUNA,1.1,7.7,2.9,34.3,Sidi Bouzid
JELMA,1.1,7.7,3.4,31.4,Sidi Bouzid
SEBBALET OULED ASKER,1.5,10.5,5.9,31.2,Sidi Bouzid
SIDI ALI BEN AOUNE,1.4,7.6,5.9,31,Sidi Bouzid
BIR EL HAFFEY,0.8,9.3,2.7,27.4,Sidi Bouzid
REGUEB,0.7,6.7,2.7,23.7,Sidi Bouzid
MAKNASSY,0.1,4.5,3.5,23.3,Sidi Bouzid
SIDI BOUZID EST,0.7,9.6,3.7,21.8,Sidi Bouzid
OULED HAFFOUZ,0.4,7.5,4.4,21.3,Sidi Bouzid
SOUK JEDID,0.5,15.6,2.4,20.8,Sidi Bouzid
SIDI BOUZID OUEST,0.3,5,2.6,17.7,Sidi Bouzid
